Date,AUD_USD_ret,CAD_USD_ret,NZD_USD_ret,ZAR_USD_ret,CPI,TB3MS,M1,M2,wti_ret
1958-02-01,0.024847016,-0.015704965,0.027806511,-0.027772684,-0.0008091624,0.18514511,0.0064412216,0.00037930967,0.01975731
1958-03-01,0.027389761,-0.022098793,0.024365755,-0.029437784,0.0033391672,0.21547623,0.009997499,0.0034101584,0.11453919
1958-04-01,0.00484199,-0.011169698,0.019614225,-0.00027105454,0.002324961,0.15920807,-0.003943921,-0.0011260441,0.101261646
1958-05-01,-0.016618315,-0.0065363287,-0.012564085,0.00067858025,-0.0007401437,0.25498554,-0.008158549,-0.0047144936,0.05554449
1958-06-01,-0.0028232853,-0.00056295685,-0.024216441,0.0038172654,0.0021499868,0.16925055,0.00050761993,-0.0010694574,0.08681687
1958-07-01,0.013389777,-0.0017330147,-0.011419475,-0.010083904,0.003234809,0.19322142,-0.000954364,-0.0012905746,0.083663665
1958-08-01,0.014337844,-0.006473401,0.0007916909,-0.014452604,0.0016211573,0.29511163,0.003633782,-0.00053506024,0.08457438
1958-09-01,0.013015539,-0.01885074,0.0033965835,-0.023026371,0.0027793273,0.33689076,0.0014784302,0.00015134254,0.13287549
1958-10-01,0.012723394,-0.004221554,-0.012196722,-0.0006853524,0.0028788336,0.23117739,0.005919147,-0.0011064261,0.14836855
1958-11-01,0.0012927045,-0.0137270065,-0.0051601063,-0.013972595,0.0024534904,0.32473,0.00074664096,-0.0013701917,0.12597471
1958-12-01,0.0059787785,0.010356408,-0.02304222,0.016220257,-0.00013275743,0.1637146,0.010204706,-0.0010382026,0.07946128
1959-01-01,-0.0069928956,0.0020472826,-0.017992534,-0.0029673183,0.0017560141,0.3072744,-0.016609177,-0.0027732837,0.051103666
1959-02-01,0.022335436,0.0006962469,0.00796557,-0.024509877,0.0038473085,0.2131143,0.004896071,-0.0014270125,0.08184327
1959-03-01,-0.011771538,0.01787622,-0.029551666,0.027695471,-0.0005021565,0.11369986,-0.0032097937,-0.0034519737,0.01796765
1959-04-01,-0.033075962,0.03484001,-0.003956382,-0.02243009,-0.0033759177,-0.42188367,0.012891255,0.004885419,-0.14085509
1959-05-01,0.008965702,0.0079049505,0.014897073,0.018359415,0.0049000694,-0.3509004,-0.010479475,-0.00017111869,0.057184547
1959-06-01,-0.021310013,0.042158607,-0.0063004126,0.04607276,-0.007660737,-0.16039595,-0.011312148,-0.00070959824,-0.1550977
1959-07-01,0.03701821,-0.006822941,0.034062147,-0.054421507,-0.002407511,0.07049722,-0.0019295362,0.0064218505,-0.05584409
1959-08-01,0.03010332,-0.010336476,-0.0015462269,-0.019684289,0.00025406844,0.28364822,0.012802102,-0.00721365,0.076751836
1959-09-01,-0.080744915,0.038487665,-0.046025418,0.0916017,-0.0017465824,-0.1231269,0.0041004173,0.00546732,-0.022607071
1959-10-01,-0.0003597616,0.015239139,-0.009253728,0.04631874,0.0004085048,-0.017413864,-0.012313237,-0.0013848552,0.003922829
1959-11-01,0.028057994,-0.026306234,0.030335233,-0.055894382,-0.0013771198,0.18703377,0.015209085,-0.00020101956,0.03150435
1959-12-01,0.010364795,0.004470966,0.01131421,-0.018749254,-0.0022380333,-0.22619829,0.0044330154,0.0017188526,0.008998163
1960-01-01,-0.0055257124,-0.024871865,0.009746865,-0.019217124,0.0040055662,0.0031337165,-0.017307915,-0.004826481,0.14387868
1960-02-01,0.03327076,-0.021528266,0.035596624,-0.04239479,-0.0038707752,0.16973063,0.01186082,0.0026699502,-0.050672546
1960-03-01,0.023061357,-0.020601867,0.015323475,-0.023503095,0.004665801,0.14739212,0.011605425,0.005721562,0.12612583
1960-04-01,0.0028979026,-0.02051812,0.0015668656,-0.0066795885,0.003930961,0.18966484,-0.0069880206,-0.0016866268,0.16949855
1960-05-01,-0.012195317,-0.0046972027,-0.021313524,0.010580364,-0.0014692876,0.13687404,-0.0077816118,-0.0016728146,0.018426655
1960-06-01,0.00038661587,0.013659005,-0.04793687,0.035933726,0.00028805566,0.17505589,-0.010639094,-0.002681135,0.0152750695
1960-07-01,0.017707676,0.00039092381,-0.009060408,0.006522595,0.0025206958,0.19715989,-0.010685694,-0.0025196427,-0.020129876
1960-08-01,0.027044795,-0.011236173,0.012095993,-0.032394007,0.002621557,0.24659768,0.015376308,0.00151876,0.023432821
1960-09-01,0.014997977,-0.012004719,0.0049142456,-0.013546363,0.0023220554,0.174212,-0.0076049063,-0.002198744,0.08057913
1960-10-01,-0.026737714,0.023014406,-0.050905652,0.0704404,-0.00018830197,0.025306866,-0.009806959,0.0013413145,0.03481053
1960-11-01,-0.027621059,0.015410213,-0.014417576,0.017591586,0.0019309374,-0.37267137,0.009024911,0.0025058556,-0.0413948
1960-12-01,-0.015515898,0.010019902,0.017742936,-0.001986347,-0.0041804574,-0.064010985,-0.027049785,-0.0037759955,0.04943668
1961-01-01,-0.0036605848,0.028052814,0.00024794874,0.014476065,-0.004099664,-0.056715164,0.0023942227,0.0026012815,-0.078186624
1961-02-01,0.012929018,-0.00791449,0.024515063,-0.032641955,-0.0037688257,-0.32440433,0.010874517,0.0019431481,-0.09095712
1961-03-01,0.034067642,-0.029678892,0.041516304,-0.022151794,0.00550328,-0.2084373,0.0031841418,0.002674659,0.15764761
1961-04-01,-0.02155747,-4.3508553e-05,-0.018443692,0.004616793,0.00042341056,-0.2948494,0.004081797,0.0033431167,0.0010105429
1961-05-01,-0.051679987,0.004389683,-0.04424107,0.042224407,0.00066865014,-0.28866825,-0.017153999,-0.0005491295,0.045802545
1961-06-01,0.026276562,-0.019833425,0.008409263,-0.021526624,0.00084445084,0.09406259,0.013006282,0.0021129658,0.0039384975
1961-07-01,0.047056407,-0.042363796,0.055642616,-0.062531434,-0.002985229,0.22566324,0.013498299,0.0036143402,0.015540182
1961-08-01,0.018329676,-0.015665218,0.014877784,-0.030746836,0.0015544434,0.21890904,-0.00037885076,-0.008297609,0.032899234
1961-09-01,-0.014608251,0.0064098374,-0.030182203,0.04101135,0.0010520531,0.08991192,-0.0070448625,0.002662242,0.103990294
1961-10-01,-0.0061071916,0.0068894974,-0.02972261,0.033304185,0.0011683621,-0.0439579,-0.015129416,-0.0024775083,0.018022405
1961-11-01,0.01142806,0.007094543,-0.0007036476,-0.0030904673,-0.002398439,0.27137548,0.0009692648,-0.0043796934,-0.067985974
1961-12-01,0.024797007,0.0204934,-0.008322404,-0.007853126,-0.0031383438,0.069747575,0.0028039466,-0.0024664246,-0.019668238
1962-01-01,-0.0033780122,0.0037961954,0.0030229287,0.035266243,0.00030739576,0.13460103,-0.00663359,0.0009485735,0.038088564
1962-02-01,0.029538466,-0.018605761,0.03222179,-0.038457483,-0.003936215,0.14034334,0.013349014,0.0032393655,-0.062056255
1962-03-01,0.01616079,-0.016099997,-0.003335919,0.0007664378,0.0045178314,0.09348902,0.001921815,0.0038796456,0.10041248
1962-04-01,-0.01744269,-0.0017410374,-0.023940181,0.026301606,0.00038881841,0.18525037,-0.006213111,-0.006218037,0.069102906
1962-05-01,-0.020835498,0.01038953,-0.02780068,0.014265755,-0.0031473988,0.057907935,-0.002534908,0.0001733907,-0.074268274
1962-06-01,-0.0014046958,0.019953925,-0.028734256,0.034111075,0.00325384,0.05437922,-0.020416755,-0.00428673,0.02794424
1962-07-01,0.007878468,0.025289005,0.03217212,-0.0070557,-0.0023535793,0.16859531,0.0134918215,0.00018184923,-0.09973893
1962-08-01,0.036256447,-0.0262714,0.031426344,-0.009373611,-0.0012727295,0.16549304,0.013488731,0.0018406338,-0.071641475
1962-09-01,0.007446792,-0.021524606,0.010464936,-0.008744722,0.0036440983,0.15996197,-0.009600295,-0.002415531,0.094379
1962-10-01,-0.04799528,0.01151486,-0.040685907,0.07274463,-0.0014310534,-0.028271368,-0.010887482,0.0038593875,0.027663266
