sample_id,step,AUD_USD_ret,CAD_USD_ret,NZD_USD_ret,ZAR_USD_ret,CPI,TB3MS,M1,M2,wti_ret
1,1,-0.005261164158582687,0.0033511780202388763,-0.008780774660408497,0.01680414378643036,0.002902553416788578,0.024489320814609528,-0.008841889910399914,-0.001793973846361041,0.0896792784333229
1,2,-0.04515998065471649,0.026092730462551117,-0.025505393743515015,0.005721531342715025,-0.0031322308350354433,-0.27437642216682434,0.015351332724094391,0.0028797679115086794,-0.12305988371372223
1,3,0.007176386192440987,-0.004873885773122311,0.020573731511831284,0.03364945575594902,0.004497322253882885,-0.3979029953479767,-0.008303571492433548,-0.002436594804748893,0.10999847948551178
1,4,-0.0070956493727862835,0.0120024299249053,-0.006484765559434891,0.04249458387494087,-0.006157523021101952,0.057149793952703476,-0.010102806612849236,-0.004376708064228296,-0.0412692129611969
1,5,0.03562159463763237,-0.015470139682292938,0.0198531337082386,-0.05083524435758591,3.789857873925939e-05,0.23410965502262115,0.0097096161916852,0.004895761143416166,0.05148523673415184
1,6,0.03786777704954147,-0.022563794627785683,0.01666243188083172,-0.027081845328211784,0.0014121618587523699,0.1855122148990631,0.0026634393725544214,-0.004210392013192177,0.1324205845594406
1,7,-0.04726363345980644,-9.773848432814702e-05,-0.03786972910165787,0.04602634534239769,-0.003338961163535714,0.17958499491214752,-0.0008874948835000396,-0.006825042888522148,-0.07266467064619064
1,8,-0.025515059009194374,0.0020221476443111897,-0.010892875492572784,0.059259530156850815,0.0014190939255058765,-0.04622131213545799,-0.0054013896733522415,0.0015722763491794467,0.032547708600759506
1,9,-0.029289886355400085,0.03215356171131134,-0.006014942191541195,0.01755783148109913,-0.0007377649890258908,-0.17254109680652618,-0.006042254623025656,-0.0015215501189231873,-0.04040224850177765
1,10,0.010903756134212017,0.012964482419192791,0.016253994777798653,-0.005637532565742731,-0.005374277010560036,0.1505858153104782,0.00021231622667983174,0.0020882694516330957,-0.17010945081710815
1,11,0.020177973434329033,-0.021663222461938858,0.027061432600021362,-0.057405177503824234,-0.0003032491949852556,-0.10911605507135391,0.010915598832070827,-0.0011130694765597582,-0.04059980809688568
1,12,0.010671482421457767,0.0018147508380934596,-0.002062506042420864,0.05846931412816048,0.004038971848785877,-0.28431230783462524,-0.007167569827288389,-0.0011386056430637836,0.11019232869148254
